,地址,经度,纬度
星巴克咖啡(四平路店),四平路188号113、116室,121.48663500746636,31.264394874519823
星巴克咖啡(瑞虹天地店),瑞虹天地天虹路320号、天宝路280弄1号,121.49296954033177,31.266136019477848
星巴克咖啡(公平路店),公平路36号B1层3-2单元,121.50304497155149,31.252354184393
星巴克咖啡(大柏树店),汶水东路351号1876老站创意园1幢101-102室,121.4777173576964,31.292733992968294
星巴克咖啡(上海滩国际大厦店),黄浦路99号上海滩国际大厦1层111室,121.48758786685208,31.24716028785933
星巴克咖啡(国际港务大厦店),东大名路358号国际港务大厦1层,121.49134420054614,31.24844191605182
星巴克咖啡(甜爱路店),甜爱路四川北路2258号,121.478329408574,31.269985179350925
星巴克咖啡(瑞虹店),临平路1号10-11单元(近飞虹路),121.49518983652239,31.262592203271502
星巴克咖啡(君欣时代广场店),控江路1777号一层L119室,121.51057473675763,31.27588218891707
星巴克咖啡(国和路店),国和路1000号国和1000广场1层,121.52199802982861,31.320438702629808
星巴克咖啡(绿源天地广场店),世界路133号和758号101室,121.52132149920438,31.323887581319934
星巴克咖啡(建发国际大厦店),秦皇岛路58号1室,121.51197252595354,31.253402937673993
星巴克咖啡(五角场万达B1店),淞沪路77号B1层B1058室,121.5086967556046,31.303877353232046
星巴克咖啡(大学路店),大学路318号,121.50301741324354,31.30508211151879
星巴克咖啡(凯迪·新都汇店),翔殷路1088号凯迪·新都汇F1,121.51412678625516,31.303620168147212
星巴克咖啡(太平洋森活店),淞沪路199号太平洋森活地下广场B1层,121.50989585148311,31.30548922626721
星巴克咖啡(控江旭辉MALL店),控江路2028号旭辉商业广场1号楼1F-02,121.50512047851525,31.275059527048693
星巴克咖啡(同济晶度店),逸仙路23-1号一层A室,121.4854912212378,31.296364206499117
STARBUCKS COFFEE8,双阳支路135137号,121.53689081822415,31.277094614608604
星巴克咖啡(合生汇),翔殷路1099号上海合生国际广场B1(黄兴路),121.51371948908725,31.30227153184636
星巴克咖啡(三湘世纪花城店),逸仙路519号1-2楼,121.4830641655693,31.302011822528616
星巴克咖啡(佳木斯路店),五角场镇佳木斯路488号,121.53076002481431,31.296147992242084
星巴克咖啡(安波路店),安波路419号附近,121.52651704166966,31.30456080820998
星巴克咖啡(百联滨江店),宁国路218号百联滨江购物中心L1层1A-024室,121.53335936940053,31.266512700509324
星巴克咖啡(东方蓝海店),关山路73-75号东方蓝海国际广场,121.51723437102208,31.292748287331136
STARBUCKS COFFEE9,江浦路与惠民路交汇处,121.52103871135178,31.262556465571247
星巴克咖啡(五角场万达影城店),五角场万达商业广场万达影城国宾路58号3层,121.50891861089839,31.303036331497115
星巴克咖啡(湾谷科技园店),国权北路1688弄63号(湾谷科技园),121.49879091662422,31.343923193675383
星巴克咖啡(国康路店),国康路38号(邮电设计院)一楼,121.49987152538125,31.28833040299686
星巴克咖啡(星汇广场店),江湾城路99号尚浦商务中心6幢1楼109,121.50115728462488,31.32216807056717
星巴克咖啡(Z18广场店),政德东路53号嘉凯城Z18广场1层,121.51362340164283,31.31121978597402
星巴克咖啡(紫荆广场店),控江路1628号紫荆广场1层(新华医院),121.51351988447966,31.277488016422534
星巴克咖啡(长阳谷店),长阳路1687号长阳谷7号楼7101,121.52973577362364,31.27337777584117
星巴克咖啡(复旦软件园店),隆昌路586号,121.53901380988988,31.277244421563342
